               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10277,            0.071856,            0.050375,           0.0095157,              0.6115,             0.02431,           0.0067577,            0.066879,            0.054483,            0.039693,            0.070789,           0.0032456,           0.0032456
                   1,             0.08024,            0.084927,            0.039003,            0.089504,             0.39799,             0.11159,            0.033106,            0.063799,            0.063515,            0.031756,            0.040724,           0.0065138,           0.0065138
                   2,            0.071754,            0.066567,            0.034087,             0.38827,             0.44181,             0.20194,            0.087343,            0.062517,             0.04572,            0.027124,            0.010593,            0.009716,            0.009716
                   3,            0.069541,            0.057657,            0.028213,             0.49527,             0.46064,             0.37714,             0.15661,            0.052003,            0.036689,            0.023444,            0.009703,            0.009703,            0.009703
                   4,            0.066862,            0.054808,            0.025259,             0.67936,             0.38068,             0.39085,             0.19276,            0.054085,             0.03329,            0.021955,            0.009703,            0.009703,            0.009703
                   5,            0.064031,            0.053142,            0.021619,             0.26307,             0.54162,             0.36446,             0.16875,            0.048329,            0.033239,            0.020325,            0.009604,            0.009604,            0.009604
                   6,             0.05925,             0.05441,            0.020591,             0.42829,             0.60956,             0.50814,             0.24109,            0.040795,            0.031525,            0.018734,            0.009505,            0.009505,            0.009505
                   7,            0.052359,            0.054384,            0.018265,             0.44469,              0.5992,             0.54796,             0.26693,             0.04319,             0.03209,            0.017546,            0.009406,            0.009406,            0.009406
                   8,            0.051015,            0.050533,            0.016929,             0.48901,              0.6271,             0.54809,             0.30073,            0.039588,            0.032302,            0.017009,            0.009307,            0.009307,            0.009307
                   9,            0.048801,            0.051039,             0.01692,             0.60106,             0.63226,             0.66147,             0.36094,            0.037241,            0.031395,            0.016222,            0.009208,            0.009208,            0.009208
                  10,            0.045962,            0.046599,             0.01686,             0.54221,             0.70068,             0.72847,             0.43483,            0.031666,             0.02992,             0.01527,            0.009109,            0.009109,            0.009109
                  11,             0.04406,             0.05248,             0.01438,             0.54648,             0.70292,             0.69054,             0.42229,            0.031436,            0.030427,            0.014397,             0.00901,             0.00901,             0.00901
                  12,             0.04226,            0.048691,            0.012387,              0.5971,             0.70091,             0.71245,             0.46921,            0.029307,            0.031599,            0.014587,            0.008911,            0.008911,            0.008911
                  13,            0.040501,            0.049716,            0.013686,             0.63637,             0.62657,              0.6677,             0.36014,            0.032271,            0.031614,            0.013505,            0.008812,            0.008812,            0.008812
                  14,            0.040268,            0.045685,             0.01295,             0.67755,             0.74511,             0.75697,             0.44643,            0.029771,            0.030921,            0.011927,            0.008713,            0.008713,            0.008713
                  15,            0.038918,             0.04625,             0.01174,             0.63759,             0.80177,             0.78809,             0.48796,            0.032031,            0.031029,            0.010472,            0.008614,            0.008614,            0.008614
                  16,            0.039544,            0.045472,            0.010652,             0.66164,             0.73305,             0.76761,             0.44784,            0.030629,            0.030259,             0.01052,            0.008515,            0.008515,            0.008515
                  17,            0.039456,             0.04361,            0.011812,             0.68564,             0.78165,             0.80826,               0.538,            0.028572,            0.029694,           0.0096719,            0.008416,            0.008416,            0.008416
                  18,            0.039963,            0.048578,           0.0094444,             0.72449,             0.80405,               0.827,             0.49535,            0.029137,            0.029029,           0.0091404,            0.008317,            0.008317,            0.008317
                  19,            0.036999,            0.040097,            0.010084,             0.72101,             0.79983,             0.80547,             0.51049,            0.027891,            0.030016,           0.0091708,            0.008218,            0.008218,            0.008218
                  20,            0.036582,             0.04539,           0.0084547,             0.69013,             0.84027,             0.83747,             0.51231,            0.030861,            0.028704,           0.0090723,            0.008119,            0.008119,            0.008119
                  21,            0.038622,             0.04631,            0.010067,             0.72561,             0.85208,             0.86268,             0.57503,            0.027049,            0.028781,           0.0087067,             0.00802,             0.00802,             0.00802
                  22,            0.032802,            0.039774,           0.0081339,             0.72777,             0.85528,             0.85191,             0.55808,            0.026741,            0.029073,           0.0085804,            0.007921,            0.007921,            0.007921
                  23,            0.034543,            0.042102,           0.0083283,             0.75347,              0.8324,             0.83329,             0.57709,            0.024272,            0.029494,           0.0078488,            0.007822,            0.007822,            0.007822
                  24,            0.034205,            0.043298,           0.0074921,             0.73817,             0.87011,             0.83388,             0.53105,             0.02743,            0.028886,           0.0070487,            0.007723,            0.007723,            0.007723
                  25,            0.034114,            0.040824,           0.0077516,             0.79706,             0.83635,              0.8399,             0.53814,            0.027432,            0.028969,           0.0065483,            0.007624,            0.007624,            0.007624
                  26,            0.033697,            0.040781,           0.0066529,             0.80285,             0.88169,             0.85285,              0.5926,            0.024077,            0.028674,           0.0061317,            0.007525,            0.007525,            0.007525
                  27,            0.032448,            0.039203,           0.0061039,             0.83599,             0.82835,             0.85721,             0.60737,            0.024103,            0.028862,           0.0054852,            0.007426,            0.007426,            0.007426
                  28,            0.033491,            0.042793,           0.0060136,             0.82996,             0.86034,             0.90328,             0.60515,            0.025724,            0.028573,           0.0052709,            0.007327,            0.007327,            0.007327
                  29,            0.033396,            0.043187,           0.0069545,             0.84923,             0.87016,             0.88577,             0.62349,            0.023018,            0.028651,           0.0051354,            0.007228,            0.007228,            0.007228
                  30,             0.03196,            0.042082,           0.0060947,             0.80304,             0.86725,             0.88081,             0.59609,            0.026084,            0.029136,           0.0048643,            0.007129,            0.007129,            0.007129
                  31,            0.032144,            0.042682,           0.0053806,             0.86113,             0.84164,              0.8878,             0.59801,            0.025483,            0.029148,           0.0042872,             0.00703,             0.00703,             0.00703
                  32,            0.032445,            0.044301,           0.0048776,             0.87759,             0.85901,             0.89477,             0.63619,            0.022925,            0.028778,            0.003846,            0.006931,            0.006931,            0.006931
                  33,            0.029509,            0.039972,           0.0049115,             0.84498,             0.84335,             0.89731,             0.60948,            0.024497,            0.029181,           0.0034609,            0.006832,            0.006832,            0.006832
                  34,            0.030803,            0.041196,           0.0046921,             0.79199,              0.8813,             0.89064,              0.6516,            0.024374,            0.028921,           0.0035087,            0.006733,            0.006733,            0.006733
                  35,            0.028899,            0.038136,           0.0046933,             0.87595,             0.84483,             0.91306,              0.6262,            0.024799,            0.028579,           0.0033061,            0.006634,            0.006634,            0.006634
                  36,            0.029852,            0.035967,           0.0056245,             0.86023,             0.86011,             0.90439,             0.62592,            0.023008,            0.028445,            0.003097,            0.006535,            0.006535,            0.006535
                  37,            0.030983,            0.040612,           0.0048822,             0.87038,              0.8673,             0.92635,             0.65979,            0.022674,            0.029393,           0.0030399,            0.006436,            0.006436,            0.006436
                  38,            0.030319,            0.040731,           0.0051896,              0.8718,             0.82022,             0.91831,             0.66613,            0.023563,            0.028485,           0.0032823,            0.006337,            0.006337,            0.006337
                  39,            0.030114,            0.037266,           0.0041388,             0.83926,             0.85034,             0.90221,             0.64437,            0.022835,            0.028438,           0.0033526,            0.006238,            0.006238,            0.006238
                  40,            0.029092,            0.039941,           0.0033017,             0.88676,             0.84143,             0.90635,             0.67894,            0.022345,            0.028202,           0.0028598,            0.006139,            0.006139,            0.006139
                  41,            0.030525,            0.037789,           0.0037341,             0.91382,              0.8249,             0.93094,             0.70441,            0.020409,             0.02781,           0.0028203,             0.00604,             0.00604,             0.00604
                  42,            0.030135,            0.038099,            0.004772,             0.89783,             0.83955,             0.92944,             0.66881,            0.023338,            0.028529,           0.0026804,            0.005941,            0.005941,            0.005941
                  43,            0.029937,            0.038063,           0.0034618,             0.88841,             0.85674,             0.93211,             0.68563,            0.021605,            0.028088,           0.0025874,            0.005842,            0.005842,            0.005842
                  44,            0.028876,             0.03673,           0.0035376,             0.89602,              0.8727,             0.93118,             0.68656,            0.021266,            0.027816,           0.0026677,            0.005743,            0.005743,            0.005743
                  45,            0.028101,            0.033605,           0.0043174,             0.86636,              0.8855,             0.93268,             0.66232,            0.022991,            0.027606,           0.0025956,            0.005644,            0.005644,            0.005644
                  46,            0.027961,             0.03713,           0.0033594,             0.88157,             0.87074,             0.93268,             0.70112,            0.021066,            0.028053,           0.0025546,            0.005545,            0.005545,            0.005545
                  47,             0.02652,            0.034564,           0.0038033,              0.8746,             0.86009,             0.91658,             0.67148,            0.021869,            0.028871,           0.0027599,            0.005446,            0.005446,            0.005446
                  48,            0.028451,            0.036229,           0.0030214,             0.87918,             0.84104,             0.91952,             0.67938,            0.021356,            0.028851,            0.002677,            0.005347,            0.005347,            0.005347
                  49,            0.028002,            0.036294,           0.0026632,             0.91893,             0.83176,             0.93096,             0.66683,            0.022561,            0.028225,           0.0023118,            0.005248,            0.005248,            0.005248
                  50,            0.026378,              0.0374,           0.0025133,             0.89344,             0.83706,             0.93386,             0.70582,            0.021538,            0.027839,           0.0024221,            0.005149,            0.005149,            0.005149
                  51,            0.028068,            0.034081,           0.0027708,             0.88519,             0.84774,             0.92547,             0.68077,            0.022354,            0.027617,            0.002294,             0.00505,             0.00505,             0.00505
                  52,             0.02686,            0.036756,           0.0023774,              0.8919,             0.85641,              0.9306,              0.7103,            0.020169,            0.027486,           0.0023272,            0.004951,            0.004951,            0.004951
                  53,            0.026839,            0.037095,           0.0032618,             0.88397,             0.86867,             0.93088,             0.69948,            0.021741,            0.027841,           0.0024672,            0.004852,            0.004852,            0.004852
                  54,            0.025616,            0.036954,           0.0029357,             0.89273,              0.8685,             0.93316,             0.72012,            0.020189,            0.027479,           0.0020721,            0.004753,            0.004753,            0.004753
                  55,            0.025273,            0.037987,           0.0024049,             0.87151,             0.88712,             0.93963,              0.7256,            0.019497,            0.027749,           0.0018123,            0.004654,            0.004654,            0.004654
                  56,            0.025961,            0.036212,           0.0022119,             0.88691,             0.86612,              0.9343,             0.71491,            0.020038,            0.028389,           0.0018086,            0.004555,            0.004555,            0.004555
                  57,            0.026457,            0.035592,            0.002757,              0.9059,             0.85802,             0.93582,             0.70558,            0.020765,            0.028192,           0.0020209,            0.004456,            0.004456,            0.004456
                  58,            0.025193,            0.036275,           0.0025663,             0.89449,             0.80679,             0.91876,             0.69208,            0.020082,            0.028496,           0.0026976,            0.004357,            0.004357,            0.004357
                  59,            0.024618,            0.032549,           0.0027167,             0.87952,             0.86229,               0.937,             0.71301,            0.019581,             0.02757,           0.0021386,            0.004258,            0.004258,            0.004258
                  60,            0.024693,            0.033905,           0.0023221,             0.87621,             0.88609,             0.94267,             0.70742,            0.019949,            0.027489,           0.0020063,            0.004159,            0.004159,            0.004159
                  61,            0.025499,            0.035227,           0.0022593,             0.92119,              0.8396,             0.94278,             0.72857,            0.019698,            0.027376,           0.0018304,             0.00406,             0.00406,             0.00406
                  62,            0.026485,            0.034849,           0.0026374,             0.87491,             0.88028,             0.94239,             0.72433,            0.019366,            0.027669,           0.0017405,            0.003961,            0.003961,            0.003961
                  63,             0.02473,            0.033708,            0.002901,              0.8838,             0.87563,             0.94398,             0.71821,             0.01975,            0.028063,           0.0016538,            0.003862,            0.003862,            0.003862
                  64,            0.025159,            0.035241,           0.0021739,             0.89176,             0.87968,             0.94553,              0.7271,            0.019156,            0.027646,           0.0016744,            0.003763,            0.003763,            0.003763
                  65,            0.024289,            0.033204,           0.0026123,             0.88275,             0.90186,             0.94706,              0.7408,            0.018573,             0.02713,           0.0018329,            0.003664,            0.003664,            0.003664
