               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099756,            0.073939,             0.04929,             0.18369,             0.33095,             0.14535,            0.044122,            0.061597,            0.053179,            0.038425,            0.070789,           0.0032456,           0.0032456
                   1,            0.073801,            0.080251,            0.034458,             0.32826,             0.50837,             0.19182,            0.072061,            0.056612,            0.052115,            0.029889,            0.040724,           0.0065138,           0.0065138
                   2,            0.074991,            0.058326,            0.031877,             0.36664,             0.30719,             0.17514,            0.069986,             0.06452,            0.035025,             0.02567,            0.010593,            0.009716,            0.009716
                   3,            0.069094,            0.053724,            0.027028,             0.40014,             0.41521,             0.27244,            0.095099,            0.061693,             0.03401,            0.022365,            0.009703,            0.009703,            0.009703
                   4,            0.064163,            0.050953,            0.024083,             0.48029,             0.42403,             0.34598,             0.15274,            0.056941,            0.032484,            0.019575,            0.009703,            0.009703,            0.009703
                   5,            0.059643,            0.050491,            0.019728,             0.58776,             0.55987,              0.5661,             0.26622,            0.041786,            0.033626,            0.017065,            0.009604,            0.009604,            0.009604
                   6,            0.054054,            0.050211,            0.018067,             0.55978,             0.67435,             0.67192,             0.33428,            0.037977,            0.032945,            0.014771,            0.009505,            0.009505,            0.009505
                   7,            0.048931,            0.049771,            0.015582,             0.45257,             0.64591,             0.56597,             0.29987,             0.03998,            0.029718,            0.012767,            0.009406,            0.009406,            0.009406
                   8,            0.047066,            0.047052,            0.014202,             0.41562,             0.86632,             0.64397,             0.33228,            0.038236,             0.03021,            0.010836,            0.009307,            0.009307,            0.009307
                   9,            0.046297,            0.046253,            0.013343,             0.55218,             0.87038,              0.6893,             0.36623,            0.035917,            0.030445,           0.0095056,            0.009208,            0.009208,            0.009208
                  10,            0.042033,            0.042386,            0.012324,             0.63377,             0.89596,             0.77119,             0.50702,            0.032519,             0.02981,           0.0078641,            0.009109,            0.009109,            0.009109
                  11,            0.045668,            0.047875,           0.0095909,             0.82109,             0.84291,             0.87073,             0.55865,            0.031974,            0.029019,            0.007035,             0.00901,             0.00901,             0.00901
                  12,            0.042072,             0.04431,           0.0079854,             0.77788,             0.85206,             0.85642,             0.52145,            0.031594,             0.03082,           0.0061665,            0.008911,            0.008911,            0.008911
                  13,            0.041145,              0.0459,           0.0093186,               0.698,             0.82108,             0.81157,             0.46801,              0.0338,            0.029542,           0.0052009,            0.008812,            0.008812,            0.008812
                  14,            0.038632,             0.04144,           0.0086856,             0.80197,             0.82958,             0.86613,             0.54022,            0.029617,             0.02894,           0.0055531,            0.008713,            0.008713,            0.008713
                  15,            0.036491,            0.042541,           0.0081068,             0.81564,             0.87088,              0.9079,             0.62002,            0.028354,             0.02916,            0.004919,            0.008614,            0.008614,            0.008614
                  16,            0.036464,            0.040571,           0.0071576,             0.85954,             0.85159,             0.91601,             0.59101,            0.028641,            0.027917,            0.004393,            0.008515,            0.008515,            0.008515
                  17,            0.037767,            0.039583,           0.0077846,             0.86578,             0.86307,             0.91284,             0.63776,            0.025544,            0.028378,           0.0045764,            0.008416,            0.008416,            0.008416
                  18,            0.036316,            0.044086,           0.0060884,             0.88222,             0.87638,             0.92786,             0.57616,            0.029227,            0.027594,           0.0036007,            0.008317,            0.008317,            0.008317
                  19,            0.034267,             0.03602,           0.0054231,             0.76668,             0.84006,             0.86859,             0.57624,             0.02748,            0.027922,           0.0034142,            0.008218,            0.008218,            0.008218
                  20,             0.03468,            0.041371,           0.0049878,             0.83801,             0.87973,             0.90825,             0.63394,            0.027604,            0.027591,           0.0034365,            0.008119,            0.008119,            0.008119
                  21,            0.036623,            0.041481,           0.0063014,             0.85511,             0.86157,             0.91734,             0.65645,            0.026051,            0.028016,           0.0037128,             0.00802,             0.00802,             0.00802
                  22,            0.031159,            0.036318,           0.0051824,             0.88227,             0.86876,             0.92677,             0.66097,            0.026506,            0.028795,           0.0032369,            0.007921,            0.007921,            0.007921
                  23,            0.033635,            0.037587,           0.0054489,             0.87135,             0.86834,             0.90987,             0.64998,            0.024279,             0.02845,           0.0030857,            0.007822,            0.007822,            0.007822
                  24,            0.033307,            0.039454,            0.004858,             0.83191,             0.86989,             0.90407,             0.66846,             0.02742,            0.028503,           0.0029361,            0.007723,            0.007723,            0.007723
                  25,            0.031801,            0.037166,           0.0046878,             0.85579,             0.84809,             0.89591,             0.62003,            0.026204,             0.02943,           0.0028865,            0.007624,            0.007624,            0.007624
                  26,            0.031659,            0.037823,           0.0051357,             0.88815,             0.88173,             0.92086,             0.67369,             0.02392,            0.028381,           0.0032429,            0.007525,            0.007525,            0.007525
                  27,            0.030617,            0.035245,           0.0042916,             0.86259,             0.89687,             0.91433,              0.6868,            0.021817,            0.028005,           0.0031287,            0.007426,            0.007426,            0.007426
                  28,            0.030622,            0.038876,           0.0041596,             0.85874,             0.86713,             0.91121,             0.63874,            0.024278,            0.028515,           0.0033026,            0.007327,            0.007327,            0.007327
